           1 - subshell number
           1 - subshell index
   K (1s1/2) - subshell label
  3.4565E+04 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
          6         10       3.57686E+03  1.77374E-04
          6         11       3.62454E+03  1.04335E-04
          6         12       3.63725E+03  6.96986E-03
          6         13       3.71539E+03  4.52813E-04
          6         14       3.71745E+03  3.55373E-03
          6         17       3.76162E+03  2.50415E-05
          6         18       3.77288E+03  1.04335E-05
          6         19       3.77427E+03  6.47945E-04
          7          7       2.92158E+03  6.89830E-02
          7          8       3.15723E+03  6.91441E-02
          7          9       3.17062E+03  1.03651E-01
          7         10       3.63977E+03  6.42509E-03
          7         11       3.68745E+03  9.36020E-03
          7         12       3.70016E+03  2.30447E-02
          7         13       3.77830E+03  1.02162E-02
          7         14       3.78036E+03  1.51275E-02
          7         17       3.82453E+03  9.16140E-04
          7         18       3.83579E+03  9.58901E-04
          7         19       3.83718E+03  2.20269E-03
          8          8       3.39288E+03  9.89602E-03
          8          9       3.40627E+03  1.90317E-01
          8         10       3.87542E+03  5.87458E-04
          8         11       3.92310E+03  5.99960E-04
          8         12       3.93581E+03  9.16519E-03
          8         13       4.01395E+03  2.60751E-03
          8         14       4.01601E+03  2.16801E-02
          8         17       4.06018E+03  8.24281E-05
          8         18       4.07144E+03  6.15604E-05
          8         19       4.07283E+03  8.43075E-04
          9          9       3.41966E+03  1.28990E-01
          9         10       3.88881E+03  7.05325E-04
          9         11       3.93649E+03  5.05429E-03
          9         12       3.94920E+03  1.52978E-02
          9         13       4.02734E+03  2.53349E-02
          9         14       4.02940E+03  3.25886E-02
          9         17       4.07357E+03  1.01206E-04
          9         18       4.08483E+03  5.12294E-04
          9         19       4.08622E+03  1.43576E-03
         10         10       4.35796E+03  4.38428E-05
         10         11       4.40564E+03  3.26012E-05
         10         12       4.41835E+03  9.49944E-04
         10         13       4.49649E+03  5.73327E-05
         10         14       4.49855E+03  6.29540E-05
         10         17       4.54272E+03  1.23663E-05
         10         18       4.55398E+03  3.37258E-06
         10         19       4.55537E+03  8.76855E-05
         11         11       4.45332E+03  8.02789E-06
         11         12       4.46603E+03  1.27441E-03
         11         13       4.54417E+03  8.12818E-05
